CountyID,County,stateID,,CountyID,CountyStateID
1,Fairbanks North Star,1,,1,Fairbanks North Star1
2,Kenai Peninsula,1,,2,Kenai Peninsula1
3,Matanuska Susitna,1,,3,Matanuska Susitna1
4,Autauga,2,,4,Autauga2
5,Baldwin,2,,5,Baldwin2
6,Butler,2,,6,Butler2
7,Calhoun,2,,7,Calhoun2
8,Cherokee,2,,8,Cherokee2
9,Coffee,2,,9,Coffee2
10,Colbert,2,,10,Colbert2
11,Dale,2,,11,Dale2
12,Elmore,2,,12,Elmore2
13,Etowah,2,,13,Etowah2
14,Franklin,2,,14,Franklin2
15,Henry,2,,15,Henry2
16,Houston,2,,16,Houston2
17,Jackson,2,,17,Jackson2
18,Jefferson,2,,18,Jefferson2
19,Lauderdale,2,,19,Lauderdale2
20,Lee,2,,20,Lee2
21,Madison,2,,21,Madison2
22,Marshall,2,,22,Marshall2
23,Mobile,2,,23,Mobile2
24,Montgomery,2,,24,Montgomery2
25,Morgan,2,,25,Morgan2
26,Pike,2,,26,Pike2
27,Russell,2,,27,Russell2
28,Saint Clair,2,,28,Saint Clair2
29,Shelby,2,,29,Shelby2
30,Talladega,2,,30,Talladega2
31,Tuscaloosa,2,,31,Tuscaloosa2
32,Baxter,3,,32,Baxter3
33,Benton,3,,33,Benton3
34,Cleburne,3,,34,Cleburne3
35,Conway,3,,35,Conway3
36,Craighead,3,,36,Craighead3
37,Crawford,3,,37,Crawford3
38,Crittenden,3,,38,Crittenden3
39,Faulkner,3,,39,Faulkner3
40,Garland,3,,40,Garland3
41,Greene,3,,41,Greene3
42,Hot Spring,3,,42,Hot Spring3
43,Howard,3,,43,Howard3
44,Independence,3,,44,Independence3
45,Izard,3,,45,Izard3
46,Jefferson,3,,46,Jefferson3
47,Johnson,3,,47,Johnson3
48,Lonoke,3,,48,Lonoke3
49,Marion,3,,49,Marion3
50,Miller,3,,50,Miller3
51,Mississippi,3,,51,Mississippi3
52,Polk,3,,52,Polk3
53,Pope,3,,53,Pope3
54,Pulaski,3,,54,Pulaski3
55,Saline,3,,55,Saline3
56,Sebastian,3,,56,Sebastian3
57,Sharp,3,,57,Sharp3
58,Stone,3,,58,Stone3
59,Van Buren,3,,59,Van Buren3
60,Washington,3,,60,Washington3
61,White,3,,61,White3
62,Yell,3,,62,Yell3
63,Cochise,4,,63,Cochise4
64,Coconino,4,,64,Coconino4
65,Gila,4,,65,Gila4
66,Graham,4,,66,Graham4
67,La Paz,4,,67,La Paz4
68,Maricopa,4,,68,Maricopa4
69,Mohave,4,,69,Mohave4
70,Navajo,4,,70,Navajo4
71,Pima,4,,71,Pima4
72,Pinal,4,,72,Pinal4
73,Santa Cruz,4,,73,Santa Cruz4
74,Yavapai,4,,74,Yavapai4
75,Yuma,4,,75,Yuma4
76,Alameda,5,,76,Alameda5
77,Amador,5,,77,Amador5
78,Butte,5,,78,Butte5
79,Calaveras,5,,79,Calaveras5
80,Colusa,5,,80,Colusa5
81,Contra Costa,5,,81,Contra Costa5
82,El Dorado,5,,82,El Dorado5
83,Fresno,5,,83,Fresno5
84,Glenn,5,,84,Glenn5
85,Humboldt,5,,85,Humboldt5
86,Imperial,5,,86,Imperial5
87,Inyo,5,,87,Inyo5
88,Kern,5,,88,Kern5
89,Kings,5,,89,Kings5
90,Lake,5,,90,Lake5
91,Lassen,5,,91,Lassen5
92,Los Angeles,5,,92,Los Angeles5
93,Madera,5,,93,Madera5
94,Marin,5,,94,Marin5
95,Mariposa,5,,95,Mariposa5
96,Merced,5,,96,Merced5
97,Mono,5,,97,Mono5
98,Monterey,5,,98,Monterey5
99,Napa,5,,99,Napa5
100,Nevada,5,,100,Nevada5
101,Orange,5,,101,Orange5
102,Placer,5,,102,Placer5
103,Plumas,5,,103,Plumas5
104,Riverside,5,,104,Riverside5
105,Sacramento,5,,105,Sacramento5
106,San Benito,5,,106,San Benito5
107,San Bernardino,5,,107,San Bernardino5
108,San Diego,5,,108,San Diego5
109,San Francisco,5,,109,San Francisco5
110,San Joaquin,5,,110,San Joaquin5
111,San Luis Obispo,5,,111,San Luis Obispo5
112,San Mateo,5,,112,San Mateo5
113,Santa Barbara,5,,113,Santa Barbara5
114,Santa Clara,5,,114,Santa Clara5
115,Santa Cruz,5,,115,Santa Cruz5
116,Shasta,5,,116,Shasta5
117,Siskiyou,5,,117,Siskiyou5
118,Solano,5,,118,Solano5
119,Sonoma,5,,119,Sonoma5
120,Stanislaus,5,,120,Stanislaus5
121,Sutter,5,,121,Sutter5
122,Tehama,5,,122,Tehama5
123,Tulare,5,,123,Tulare5
124,Tuolumne,5,,124,Tuolumne5
125,Ventura,5,,125,Ventura5
126,Yolo,5,,126,Yolo5
127,Yuba,5,,127,Yuba5
128,Adams,6,,128,Adams6
129,Arapahoe,6,,129,Arapahoe6
130,Archuleta,6,,130,Archuleta6
131,Boulder,6,,131,Boulder6
132,Broomfield,6,,132,Broomfield6
133,Clear Creek,6,,133,Clear Creek6
134,Conejos,6,,134,Conejos6
135,Crowley,6,,135,Crowley6
136,Delta,6,,136,Delta6
137,Denver,6,,137,Denver6
138,Douglas,6,,138,Douglas6
139,Eagle,6,,139,Eagle6
140,El Paso,6,,140,El Paso6
141,Elbert,6,,141,Elbert6
142,Fremont,6,,142,Fremont6
143,Garfield,6,,143,Garfield6
144,Grand,6,,144,Grand6
145,Gunnison,6,,145,Gunnison6
146,Huerfano,6,,146,Huerfano6
147,Jefferson,6,,147,Jefferson6
148,Kit Carson,6,,148,Kit Carson6
149,Lake,6,,149,Lake6
150,Larimer,6,,150,Larimer6
151,Las Animas,6,,151,Las Animas6
152,Logan,6,,152,Logan6
153,Mesa,6,,153,Mesa6
154,Moffat,6,,154,Moffat6
155,Montezuma,6,,155,Montezuma6
156,Montrose,6,,156,Montrose6
157,Ouray,6,,157,Ouray6
158,Park,6,,158,Park6
159,Prowers,6,,159,Prowers6
160,Pueblo,6,,160,Pueblo6
161,Rio Blanco,6,,161,Rio Blanco6
162,Rio Grande,6,,162,Rio Grande6
163,Routt,6,,163,Routt6
164,San Miguel,6,,164,San Miguel6
165,Teller,6,,165,Teller6
166,Weld,6,,166,Weld6
167,Fairfield,7,,167,Fairfield7
168,Hartford,7,,168,Hartford7
169,Litchfield,7,,169,Litchfield7
170,Middlesex,7,,170,Middlesex7
171,New Haven,7,,171,New Haven7
172,New London,7,,172,New London7
173,Tolland,7,,173,Tolland7
174,Windham,7,,174,Windham7
175,District of Columbia,8,,175,District of Columbia8
176,Kent,9,,176,Kent9
177,New Castle,9,,177,New Castle9
178,Sussex,9,,178,Sussex9
179,Alachua,10,,179,Alachua10
180,Baker,10,,180,Baker10
181,Bay,10,,181,Bay10
182,Bradford,10,,182,Bradford10
183,Brevard,10,,183,Brevard10
184,Broward,10,,184,Broward10
185,Charlotte,10,,185,Charlotte10
186,Citrus,10,,186,Citrus10
187,Clay,10,,187,Clay10
188,Columbia,10,,188,Columbia10
189,De Soto,10,,189,De Soto10
190,Duval,10,,190,Duval10
191,Escambia,10,,191,Escambia10
192,Flagler,10,,192,Flagler10
193,Gadsden,10,,193,Gadsden10
194,Gilchrist,10,,194,Gilchrist10
195,Glades,10,,195,Glades10
196,Gulf,10,,196,Gulf10
197,Hendry,10,,197,Hendry10
198,Hernando,10,,198,Hernando10
199,Highlands,10,,199,Highlands10
200,Hillsborough,10,,200,Hillsborough10
201,Indian River,10,,201,Indian River10
202,Jackson,10,,202,Jackson10
203,Jefferson,10,,203,Jefferson10
204,Lake,10,,204,Lake10
205,Lee,10,,205,Lee10
206,Leon,10,,206,Leon10
207,Levy,10,,207,Levy10
208,Madison,10,,208,Madison10
209,Manatee,10,,209,Manatee10
210,Marion,10,,210,Marion10
211,Martin,10,,211,Martin10
212,Miami-Dade,10,,212,Miami-Dade10
213,Monroe,10,,213,Monroe10
214,Nassau,10,,214,Nassau10
215,Okaloosa,10,,215,Okaloosa10
216,Okeechobee,10,,216,Okeechobee10
217,Orange,10,,217,Orange10
218,Osceola,10,,218,Osceola10
219,Palm Beach,10,,219,Palm Beach10
220,Pasco,10,,220,Pasco10
221,Pinellas,10,,221,Pinellas10
222,Polk,10,,222,Polk10
223,Putnam,10,,223,Putnam10
224,Saint Johns,10,,224,Saint Johns10
225,Saint Lucie,10,,225,Saint Lucie10
226,Santa Rosa,10,,226,Santa Rosa10
227,Sarasota,10,,227,Sarasota10
228,Seminole,10,,228,Seminole10
229,Sumter,10,,229,Sumter10
230,Suwannee,10,,230,Suwannee10
231,Union,10,,231,Union10
232,Volusia,10,,232,Volusia10
233,Wakulla,10,,233,Wakulla10
234,Walton,10,,234,Walton10
235,Baldwin,11,,235,Baldwin11
236,Banks,11,,236,Banks11
237,Barrow,11,,237,Barrow11
238,Bartow,11,,238,Bartow11
239,Berrien,11,,239,Berrien11
240,Bibb,11,,240,Bibb11
241,Bleckley,11,,241,Bleckley11
242,Brooks,11,,242,Brooks11
243,Bryan,11,,243,Bryan11
244,Bulloch,11,,244,Bulloch11
245,Butts,11,,245,Butts11
246,Camden,11,,246,Camden11
247,Carroll,11,,247,Carroll11
248,Catoosa,11,,248,Catoosa11
249,Chatham,11,,249,Chatham11
250,Chattahoochee,11,,250,Chattahoochee11
251,Cherokee,11,,251,Cherokee11
252,Clarke,11,,252,Clarke11
253,Clayton,11,,253,Clayton11
254,Cobb,11,,254,Cobb11
255,Columbia,11,,255,Columbia11
256,Cook,11,,256,Cook11
257,Coweta,11,,257,Coweta11
258,Crawford,11,,258,Crawford11
259,Crisp,11,,259,Crisp11
260,Dade,11,,260,Dade11
261,Dawson,11,,261,Dawson11
262,Dekalb,11,,262,Dekalb11
263,Dodge,11,,263,Dodge11
264,Dougherty,11,,264,Dougherty11
265,Douglas,11,,265,Douglas11
266,Effingham,11,,266,Effingham11
267,Elbert,11,,267,Elbert11
268,Emanuel,11,,268,Emanuel11
269,Evans,11,,269,Evans11
270,Fannin,11,,270,Fannin11
271,Fayette,11,,271,Fayette11
272,Floyd,11,,272,Floyd11
273,Forsyth,11,,273,Forsyth11
274,Franklin,11,,274,Franklin11
275,Fulton,11,,275,Fulton11
276,Gilmer,11,,276,Gilmer11
277,Glynn,11,,277,Glynn11
278,Gordon,11,,278,Gordon11
279,Grady,11,,279,Grady11
280,Greene,11,,280,Greene11
281,Gwinnett,11,,281,Gwinnett11
282,Habersham,11,,282,Habersham11
283,Hall,11,,283,Hall11
284,Haralson,11,,284,Haralson11
285,Harris,11,,285,Harris11
286,Hart,11,,286,Hart11
287,Henry,11,,287,Henry11
288,Houston,11,,288,Houston11
289,Jackson,11,,289,Jackson11
290,Jasper,11,,290,Jasper11
291,Jefferson,11,,291,Jefferson11
292,Jones,11,,292,Jones11
293,Lamar,11,,293,Lamar11
294,Lanier,11,,294,Lanier11
295,Laurens,11,,295,Laurens11
296,Lee,11,,296,Lee11
297,Liberty,11,,297,Liberty11
298,Lincoln,11,,298,Lincoln11
299,Long,11,,299,Long11
300,Lowndes,11,,300,Lowndes11
301,Lumpkin,11,,301,Lumpkin11
302,Macon,11,,302,Macon11
303,Madison,11,,303,Madison11
304,McIntosh,11,,304,McIntosh11
305,Meriwether,11,,305,Meriwether11
306,Mitchell,11,,306,Mitchell11
307,Monroe,11,,307,Monroe11
308,Montgomery,11,,308,Montgomery11
309,Morgan,11,,309,Morgan11
310,Murray,11,,310,Murray11
311,Muscogee,11,,311,Muscogee11
312,Newton,11,,312,Newton11
313,Oconee,11,,313,Oconee11
314,Oglethorpe,11,,314,Oglethorpe11
315,Paulding,11,,315,Paulding11
316,Peach,11,,316,Peach11
317,Pickens,11,,317,Pickens11
318,Pike,11,,318,Pike11
319,Polk,11,,319,Polk11
320,Pulaski,11,,320,Pulaski11
321,Putnam,11,,321,Putnam11
322,Quitman,11,,322,Quitman11
323,Rabun,11,,323,Rabun11
324,Richmond,11,,324,Richmond11
325,Rockdale,11,,325,Rockdale11
326,Screven,11,,326,Screven11
327,Seminole,11,,327,Seminole11
328,Spalding,11,,328,Spalding11
329,Stephens,11,,329,Stephens11
330,Tattnall,11,,330,Tattnall11
331,Terrell,11,,331,Terrell11
332,Thomas,11,,332,Thomas11
333,Tift,11,,333,Tift11
334,Toombs,11,,334,Toombs11
335,Towns,11,,335,Towns11
336,Troup,11,,336,Troup11
337,Turner,11,,337,Turner11
338,Union,11,,338,Union11
339,Upson,11,,339,Upson11
340,Walker,11,,340,Walker11
341,Walton,11,,341,Walton11
342,Ware,11,,342,Ware11
343,Wayne,11,,343,Wayne11
344,White,11,,344,White11
345,Whitfield,11,,345,Whitfield11
346,Wilkes,11,,346,Wilkes11
347,Worth,11,,347,Worth11
348,Hawaii,12,,348,Hawaii12
349,Honolulu,12,,349,Honolulu12
350,Maui,12,,350,Maui12
351,Adair,13,,351,Adair13
352,Adams,13,,352,Adams13
353,Allamakee,13,,353,Allamakee13
354,Audubon,13,,354,Audubon13
355,Black Hawk,13,,355,Black Hawk13
356,Boone,13,,356,Boone13
357,Bremer,13,,357,Bremer13
358,Buchanan,13,,358,Buchanan13
359,Calhoun,13,,359,Calhoun13
360,Carroll,13,,360,Carroll13
361,Cerro Gordo,13,,361,Cerro Gordo13
362,Clarke,13,,362,Clarke13
363,Clinton,13,,363,Clinton13
364,Dallas,13,,364,Dallas13
365,Decatur,13,,365,Decatur13
366,Des Moines,13,,366,Des Moines13
367,Dubuque,13,,367,Dubuque13
368,Fayette,13,,368,Fayette13
369,Hancock,13,,369,Hancock13
370,Humboldt,13,,370,Humboldt13
371,Jasper,13,,371,Jasper13
372,Jefferson,13,,372,Jefferson13
373,Johnson,13,,373,Johnson13
374,Jones,13,,374,Jones13
375,Linn,13,,375,Linn13
376,Madison,13,,376,Madison13
377,Marion,13,,377,Marion13
378,Marshall,13,,378,Marshall13
379,Mills,13,,379,Mills13
380,Montgomery,13,,380,Montgomery13
381,Muscatine,13,,381,Muscatine13
382,Polk,13,,382,Polk13
383,Pottawattamie,13,,383,Pottawattamie13
384,Poweshiek,13,,384,Poweshiek13
385,Sac,13,,385,Sac13
386,Scott,13,,386,Scott13
387,Story,13,,387,Story13
388,Warren,13,,388,Warren13
389,Washington,13,,389,Washington13
390,Webster,13,,390,Webster13
391,Winnebago,13,,391,Winnebago13
392,Woodbury,13,,392,Woodbury13
393,Worth,13,,393,Worth13
394,Ada,14,,394,Ada14
395,Bannock,14,,395,Bannock14
396,Bear Lake,14,,396,Bear Lake14
397,Benewah,14,,397,Benewah14
398,Bingham,14,,398,Bingham14
399,Blaine,14,,399,Blaine14
400,Bonner,14,,400,Bonner14
401,Bonneville,14,,401,Bonneville14
402,Canyon,14,,402,Canyon14
403,Caribou,14,,403,Caribou14
404,Clearwater,14,,404,Clearwater14
405,Elmore,14,,405,Elmore14
406,Franklin,14,,406,Franklin14
407,Fremont,14,,407,Fremont14
408,Gem,14,,408,Gem14
409,Gooding,14,,409,Gooding14
410,Jefferson,14,,410,Jefferson14
411,Jerome,14,,411,Jerome14
412,Kootenai,14,,412,Kootenai14
413,Latah,14,,413,Latah14
414,Lemhi,14,,414,Lemhi14
415,Madison,14,,415,Madison14
416,Nez Perce,14,,416,Nez Perce14
417,Owyhee,14,,417,Owyhee14
418,Payette,14,,418,Payette14
419,Power,14,,419,Power14
420,Shoshone,14,,420,Shoshone14
421,Teton,14,,421,Teton14
422,Twin Falls,14,,422,Twin Falls14
423,Adams,15,,423,Adams15
424,Boone,15,,424,Boone15
425,Bureau,15,,425,Bureau15
426,Carroll,15,,426,Carroll15
427,Champaign,15,,427,Champaign15
428,Clinton,15,,428,Clinton15
429,Coles,15,,429,Coles15
430,Cook,15,,430,Cook15
431,DeKalb,15,,431,DeKalb15
432,Douglas,15,,432,Douglas15
433,Du Page,15,,433,Du Page15
434,Ford,15,,434,Ford15
435,Franklin,15,,435,Franklin15
436,Greene,15,,436,Greene15
437,Grundy,15,,437,Grundy15
438,Hamilton,15,,438,Hamilton15
439,Henry,15,,439,Henry15
440,Iroquois,15,,440,Iroquois15
441,Jefferson,15,,441,Jefferson15
442,Jersey,15,,442,Jersey15
443,Jo Daviess,15,,443,Jo Daviess15
444,Kane,15,,444,Kane15
445,Kankakee,15,,445,Kankakee15
446,Kendall,15,,446,Kendall15
447,La Salle,15,,447,La Salle15
448,Lake,15,,448,Lake15
449,Lee,15,,449,Lee15
450,Livingston,15,,450,Livingston15
451,Logan,15,,451,Logan15
452,Macon,15,,452,Macon15
453,Macoupin,15,,453,Macoupin15
454,Madison,15,,454,Madison15
455,Marshall,15,,455,Marshall15
456,McHenry,15,,456,McHenry15
457,McLean,15,,457,McLean15
458,Mercer,15,,458,Mercer15
459,Monroe,15,,459,Monroe15
460,Montgomery,15,,460,Montgomery15
461,Moultrie,15,,461,Moultrie15
462,Ogle,15,,462,Ogle15
463,Peoria,15,,463,Peoria15
464,Piatt,15,,464,Piatt15
465,Putnam,15,,465,Putnam15
466,Randolph,15,,466,Randolph15
467,Rock Island,15,,467,Rock Island15
468,Saint Clair,15,,468,Saint Clair15
469,Sangamon,15,,469,Sangamon15
470,Schuyler,15,,470,Schuyler15
471,Warren,15,,471,Warren15
472,Washington,15,,472,Washington15
473,Whiteside,15,,473,Whiteside15
474,Will,15,,474,Will15
475,Williamson,15,,475,Williamson15
476,Winnebago,15,,476,Winnebago15
477,Woodford,15,,477,Woodford15
478,Allen,16,,478,Allen16
479,Bartholomew,16,,479,Bartholomew16
480,Benton,16,,480,Benton16
481,Blackford,16,,481,Blackford16
482,Boone,16,,482,Boone16
483,Brown,16,,483,Brown16
484,Cass,16,,484,Cass16
485,Clark,16,,485,Clark16
486,Clay,16,,486,Clay16
487,Clinton,16,,487,Clinton16
488,De Kalb,16,,488,De Kalb16
489,Dearborn,16,,489,Dearborn16
490,Decatur,16,,490,Decatur16
491,Delaware,16,,491,Delaware16
492,Elkhart,16,,492,Elkhart16
493,Fayette,16,,493,Fayette16
494,Floyd,16,,494,Floyd16
495,Grant,16,,495,Grant16
496,Greene,16,,496,Greene16
497,Hamilton,16,,497,Hamilton16
498,Hancock,16,,498,Hancock16
499,Hendricks,16,,499,Hendricks16
500,Henry,16,,500,Henry16
501,Howard,16,,501,Howard16
502,Huntington,16,,502,Huntington16
503,Jackson,16,,503,Jackson16
504,Jefferson,16,,504,Jefferson16
505,Johnson,16,,505,Johnson16
506,Kosciusko,16,,506,Kosciusko16
507,La Porte,16,,507,La Porte16
508,Lagrange,16,,508,Lagrange16
509,Lake,16,,509,Lake16
510,Lawrence,16,,510,Lawrence16
511,Madison,16,,511,Madison16
512,Marion,16,,512,Marion16
513,Marshall,16,,513,Marshall16
514,Miami,16,,514,Miami16
515,Monroe,16,,515,Monroe16
516,Montgomery,16,,516,Montgomery16
517,Morgan,16,,517,Morgan16
518,Newton,16,,518,Newton16
519,Noble,16,,519,Noble16
520,Perry,16,,520,Perry16
521,Porter,16,,521,Porter16
522,Posey,16,,522,Posey16
523,Randolph,16,,523,Randolph16
524,Ripley,16,,524,Ripley16
525,Rush,16,,525,Rush16
526,Saint Joseph,16,,526,Saint Joseph16
527,Scott,16,,527,Scott16
528,Shelby,16,,528,Shelby16
529,Starke,16,,529,Starke16
530,Steuben,16,,530,Steuben16
531,Tippecanoe,16,,531,Tippecanoe16
532,Tipton,16,,532,Tipton16
533,Union,16,,533,Union16
534,Vanderburgh,16,,534,Vanderburgh16
535,Vermillion,16,,535,Vermillion16
536,Vigo,16,,536,Vigo16
537,Warrick,16,,537,Warrick16
538,Wayne,16,,538,Wayne16
539,Wells,16,,539,Wells16
540,Whitley,16,,540,Whitley16
541,Atchison,17,,541,Atchison17
542,Barton,17,,542,Barton17
543,Brown,17,,543,Brown17
544,Butler,17,,544,Butler17
545,Cherokee,17,,545,Cherokee17
546,Clay,17,,546,Clay17
547,Cloud,17,,547,Cloud17
548,Crawford,17,,548,Crawford17
549,Dickinson,17,,549,Dickinson17
550,Doniphan,17,,550,Doniphan17
551,Douglas,17,,551,Douglas17
552,Ellis,17,,552,Ellis17
553,Finney,17,,553,Finney17
554,Ford,17,,554,Ford17
555,Franklin,17,,555,Franklin17
556,Geary,17,,556,Geary17
557,Hamilton,17,,557,Hamilton17
558,Harper,17,,558,Harper17
559,Harvey,17,,559,Harvey17
560,Jackson,17,,560,Jackson17
561,Jefferson,17,,561,Jefferson17
562,Johnson,17,,562,Johnson17
563,Kingman,17,,563,Kingman17
564,Leavenworth,17,,564,Leavenworth17
565,Linn,17,,565,Linn17
566,Lyon,17,,566,Lyon17
567,Marshall,17,,567,Marshall17
568,McPherson,17,,568,McPherson17
569,Miami,17,,569,Miami17
570,Montgomery,17,,570,Montgomery17
571,Morris,17,,571,Morris17
572,Neosho,17,,572,Neosho17
573,Osage,17,,573,Osage17
574,Pawnee,17,,574,Pawnee17
575,Pottawatomie,17,,575,Pottawatomie17
576,Pratt,17,,576,Pratt17
577,Reno,17,,577,Reno17
578,Riley,17,,578,Riley17
579,Rush,17,,579,Rush17
580,Saline,17,,580,Saline17
581,Sedgwick,17,,581,Sedgwick17
582,Shawnee,17,,582,Shawnee17
583,Stafford,17,,583,Stafford17
584,Sumner,17,,584,Sumner17
585,Wyandotte,17,,585,Wyandotte17
586,Anderson,18,,586,Anderson18
587,Barren,18,,587,Barren18
588,Boone,18,,588,Boone18
589,Bourbon,18,,589,Bourbon18
590,Boyd,18,,590,Boyd18
591,Boyle,18,,591,Boyle18
592,Breckinridge,18,,592,Breckinridge18
593,Bullitt,18,,593,Bullitt18
594,Calloway,18,,594,Calloway18
595,Campbell,18,,595,Campbell18
596,Carroll,18,,596,Carroll18
597,Christian,18,,597,Christian18
598,Clark,18,,598,Clark18
599,Daviess,18,,599,Daviess18
600,Fayette,18,,600,Fayette18
601,Floyd,18,,601,Floyd18
602,Franklin,18,,602,Franklin18
603,Fulton,18,,603,Fulton18
604,Gallatin,18,,604,Gallatin18
605,Garrard,18,,605,Garrard18
606,Grant,18,,606,Grant18
607,Graves,18,,607,Graves18
608,Green,18,,608,Green18
609,Hardin,18,,609,Hardin18
610,Henderson,18,,610,Henderson18
611,Hickman,18,,611,Hickman18
612,Jefferson,18,,612,Jefferson18
613,Jessamine,18,,613,Jessamine18
614,Johnson,18,,614,Johnson18
615,Kenton,18,,615,Kenton18
616,Knox,18,,616,Knox18
617,Larue,18,,617,Larue18
618,Lawrence,18,,618,Lawrence18
619,Livingston,18,,619,Livingston18
620,Logan,18,,620,Logan18
621,Lyon,18,,621,Lyon18
622,Madison,18,,622,Madison18
623,Marshall,18,,623,Marshall18
624,McCracken,18,,624,McCracken18
625,Meade,18,,625,Meade18
626,Mercer,18,,626,Mercer18
627,Metcalfe,18,,627,Metcalfe18
628,Monroe,18,,628,Monroe18
629,Nelson,18,,629,Nelson18
630,Oldham,18,,630,Oldham18
631,Perry,18,,631,Perry18
632,Powell,18,,632,Powell18
633,Scott,18,,633,Scott18
634,Shelby,18,,634,Shelby18
635,Simpson,18,,635,Simpson18
636,Taylor,18,,636,Taylor18
637,Todd,18,,637,Todd18
638,Trigg,18,,638,Trigg18
639,Trimble,18,,639,Trimble18
640,Warren,18,,640,Warren18
641,Woodford,18,,641,Woodford18
642,Acadia,19,,642,Acadia19
643,Allen,19,,643,Allen19
644,Ascension,19,,644,Ascension19
645,Beauregard,19,,645,Beauregard19
646,Bossier,19,,646,Bossier19
647,Caddo,19,,647,Caddo19
648,East Baton Rouge,19,,648,East Baton Rouge19
649,Grant,19,,649,Grant19
